--------- beginning of main
08-16 18:47:42.327 18529 18529 E DiagJNIInterface: Trying to load libDiagService
08-16 18:47:42.382 18529 18529 E Diag_Lib:  Diag_LSM_Init: Failed to open handle to diag driver, error = 13
08-16 18:47:42.383 18529 18529 E Diag_Lib: Diag_LSM_Init call failed
08-16 18:47:42.383 18529 18529 E DiagJNIInterface: WARNING: Could not load libDiagService
08-16 18:47:42.690 17249 17356 E FirebaseMessaging: Topic operation failed: SERVICE_NOT_AVAILABLE. Will retry Topic operation.
08-16 18:47:45.566   968  1036 E vendor.xiaomi.hardware.micharge@1.0-service: Failed to open node /sys/class/qcom-battery/reverse_chg_mode
08-16 18:47:45.571   968  1036 E vendor.xiaomi.hardware.micharge@1.0-service: Failed to open node /sys/class/qcom-battery/fastchg_mode
08-16 18:47:47.696 17642 18563 E FrameEvents: updateAcquireFence: Did not find frame.
08-16 18:47:47.708 17642 18563 E FrameEvents: updateAcquireFence: Did not find frame.
08-16 18:47:47.725 17642 18563 E FrameEvents: updateAcquireFence: Did not find frame.
08-16 18:47:47.742 17642 18563 E FrameEvents: updateAcquireFence: Did not find frame.
08-16 18:47:47.748 17642 18563 E FrameEvents: updateAcquireFence: Did not find frame.
08-16 18:47:47.754 17642 18552 E libEGL  : eglGetFrameTimestampsANDROIDImpl:2355 error 3002 (EGL_BAD_ACCESS)
08-16 18:47:47.755 17642 18552 E libEGL  : eglGetFrameTimestampsANDROIDImpl:2355 error 3002 (EGL_BAD_ACCESS)
08-16 18:47:47.755 17642 18552 E libEGL  : eglGetFrameTimestampsANDROIDImpl:2355 error 3002 (EGL_BAD_ACCESS)
08-16 18:47:47.766 17642 18563 E FrameEvents: updateAcquireFence: Did not find frame.
08-16 18:47:47.774 17642 18552 E libEGL  : eglGetFrameTimestampsANDROIDImpl:2355 error 3002 (EGL_BAD_ACCESS)
08-16 18:47:47.774 17642 18552 E libEGL  : eglGetFrameTimestampsANDROIDImpl:2355 error 3002 (EGL_BAD_ACCESS)
08-16 18:47:47.774 17642 18552 E libEGL  : eglGetFrameTimestampsANDROIDImpl:2355 error 3002 (EGL_BAD_ACCESS)
08-16 18:47:47.774 17642 18552 E libEGL  : eglGetFrameTimestampsANDROIDImpl:2355 error 3002 (EGL_BAD_ACCESS)
08-16 18:47:47.782 17642 18563 E FrameEvents: updateAcquireFence: Did not find frame.
08-16 18:47:47.792 17642 18552 E libEGL  : eglGetFrameTimestampsANDROIDImpl:2355 error 3002 (EGL_BAD_ACCESS)
08-16 18:47:47.793 17642 18552 E libEGL  : eglGetFrameTimestampsANDROIDImpl:2355 error 3002 (EGL_BAD_ACCESS)
08-16 18:47:47.793 17642 18552 E libEGL  : eglGetFrameTimestampsANDROIDImpl:2355 error 3002 (EGL_BAD_ACCESS)
08-16 18:47:47.793 17642 18552 E libEGL  : eglGetFrameTimestampsANDROIDImpl:2355 error 3002 (EGL_BAD_ACCESS)
08-16 18:47:47.793 17642 18552 E libEGL  : eglGetFrameTimestampsANDROIDImpl:2355 error 3002 (EGL_BAD_ACCESS)
08-16 18:47:47.799 17642 18563 E FrameEvents: updateAcquireFence: Did not find frame.
